id,value
category.Metals & Mining.Zheng Shuliang & family,8400
category.Fashion & Retail.John Morris,8300
category.Fashion & Retail.Stefano Pessina,8300
category.Finance & Investments.Francine von Finck & family,8300
category.Real Estate.Francis Choi,8200
category.Energy.German Khan,8200
category.Diversified.Abdulsamad Rabiu,8200
category.Finance & Investments.George Roberts,8200
category.Real Estate.Kushal Pal Singh,8200
category.Real Estate.Wang Jianlin,8200
category.Real Estate.Yang Huiyan & family,8200
category.Diversified.Laurent Dassault,8100
category.Diversified.Thierry Dassault,8100
category.Food & Beverage.Tilman Fertitta,8100
category.Diversified.Marie-Hélène Habert-Dassault,8100
category.Gambling & Casinos.Karel Komarek,8100
category.Technology.Nathan Blecharczyk,8000
category.Energy.Leonid Fedun,8000
category.Fashion & Retail.Bernard Marcus,8000
category.Finance & Investments.Patrick Ryan,8000
category.Finance & Investments.Robert F․ Smith,8000
category.Metals & Mining.Pavel Tykac,8000
category.Finance & Investments.Eric Wittouck,8000
category.Finance & Investments.Orlando Bravo,7900
category.Fashion & Retail.Ding Shizhong,7900
category.Fashion & Retail.Nancy Walton Laurie,7900
category.Technology.Jay Y․ Lee,7900
category.Finance & Investments.Ramzi Musallam,7900
category.Finance & Investments.David Shaw,7900
category.Metals & Mining.Andrei Skoch & family,7900
category.Diversified.Georg Stumpf,7900
category.Telecom.Rocco Commisso,7800
category.Manufacturing.Li Shuirong & family,7800
category.Manufacturing.Lin Shu-hong,7800
category.Technology.Qi Shi & family,7800
category.Manufacturing.Yao Liangsong,7800
category.Fashion & Retail.Zhang Congyuan,7800
category.Food & Beverage.Jean-Michel Besnier,7700
category.Food & Beverage.Marie Besnier Beauvalot,7700
category.Media & Entertainment.David Geffen,7700
category.Technology.Robin Li,7700
category.Service.Liu Yonghao & family,7700
category.Technology.Henry Samueli,7700
category.Healthcare.Reinhold Schmieding,7700
category.Real Estate.Ivar Tollefsen,7700
category.Energy.Cao Renxian,7600
category.Healthcare.Hasmukh Chudgar & family,7600
