id,value,gdp_country,tax_rate_country,amount_of_billionaires,percentage
category,,,,,
category;Fashion & Retail,,,,,
category;Diversified;Turkey,26500,"$754,411,708,203 ",42.3,13.0,0.02927529827662395
category;Diversified;Germany,2800,"$3,845,630,030,824 ",48.8,1.0,0.0030932390631904553
category;Diversified;Oman,2700,"$76,983,094,928 ",27.4,1.0,0.0029827662395050815
category;Diversified;Philippines,20900,"$376,795,508,680 ",43.1,10.0,0.02308882015024304
category;Diversified;Chile,3400,"$282,318,159,745 ",34.0,2.0,0.0037560760053026955
category;Diversified;Argentina,1900,"$449,663,446,954 ",106.3,1.0,0.0020989836500220948
category;Diversified;Switzerland,4500,"$703,082,435,360 ",28.8,3.0,0.004971277065841803
category;Diversified;Qatar,1800,"$183,466,208,791 ",11.3,1.0,0.001988510826336721
category;Diversified;Nepal,1800,"$30,641,380,604 ",41.8,1.0,0.001988510826336721
category;Diversified;South Korea,4700,"$2,029,000,000,000 ",33.2,3.0,0.00519222271321255
category;Diversified;Greece,1600,"$209,852,761,469 ",51.9,1.0,0.0017675651789659744
category;Diversified;Morocco,1500,"$118,725,279,596 ",45.8,1.0,0.001657092355280601
category;Diversified;Norway,3000,"$403,336,363,636 ",36.2,2.0,0.003314184710561202
category;Diversified;Israel,1500,"$395,098,666,122 ",25.3,1.0,0.001657092355280601
category;Diversified;Hungary,2700,"$160,967,157,504 ",37.9,2.0,0.0029827662395050815
category;Diversified;Tanzania,1500,"$63,177,068,175 ",43.8,1.0,0.001657092355280601
category;Diversified;Egypt,2800,"$303,175,127,598 ",44.4,2.0,0.0030932390631904553
category;Diversified;Finland,1400,"$268,761,201,365 ",36.6,1.0,0.0015466195315952276
category;Diversified;Poland,1300,"$592,164,400,688 ",40.8,1.0,0.0014361467079098541
category;Diversified;Ukraine,2100,"$153,781,069,118 ",45.2,2.0,0.0023199292973928413
category;Diversified;Peru,1000,"$226,848,050,820 ",36.8,1.0,0.001104728236853734
category;Food & Beverage,,,,,
category;Food & Beverage;China,214800,"$19,910,000,000,000 ",59.2,46.0,0.22440451316339324
category;Food & Beverage;Belgium,38900,"$529,606,710,418 ",55.4,1.0,0.04063936481404095
category;Food & Beverage;United States,336300,"$21,427,700,000,000 ",36.6,74.0,0.3513372335979941
category;Food & Beverage;Austria,34700,"$446,314,739,528 ",51.4,1.0,0.03625156707062265
category;Food & Beverage;France,43000,"$2,715,518,274,227 ",60.7,5.0,0.044922691182615965
category;Food & Beverage;Switzerland,42000,"$703,082,435,360 ",28.8,8.0,0.043877977434183035
category;Food & Beverage;Thailand,18900,"$543,649,976,166 ",29.5,3.0,0.019745089845382365
category;Food & Beverage;United Kingdom,41400,"$2,827,113,184,696 ",30.6,4.0,0.043251149185123273
category;Food & Beverage;Brazil,22900,"$1,839,758,040,766 ",65.1,7.0,0.023923944839114083
category;Food & Beverage;Canada,16500,"$1,736,425,629,520 ",24.5,4.0,0.017237776849143335
category;Food & Beverage;India,32600,"$2,611,000,000,000 ",49.7,12.0,0.034057668198913496
category;Food & Beverage;Singapore,12600,"$372,062,527,489 ",21.0,3.0,0.01316339323025491
category;Food & Beverage;Mexico,10700,"$1,258,286,717,125 ",55.1,2.0,0.011178437108232344
category;Food & Beverage;Germany,13000,"$3,845,630,030,824 ",48.8,6.0,0.013581278729628082
category;Food & Beverage;Turkey,5000,"$754,411,708,203 ",42.3,1.0,0.005223568742164647
category;Food & Beverage;Algeria,4600,"$169,988,236,398 ",66.1,1.0,0.004805683242791475
category;Food & Beverage;Czech Republic,4100,"$246,489,245,495 ",46.1,1.0,0.00428332636857501
category;Food & Beverage;Italy,9700,"$2,001,244,392,042 ",59.1,4.0,0.010133723359799415
category;Food & Beverage;Bermuda,4600,,,2.0,0.004805683242791475
category;Food & Beverage;Philippines,4600,"$376,795,508,680 ",43.1,2.0,0.004805683242791475
category;Food & Beverage;Australia,4000,"$1,392,680,589,329 ",47.4,2.0,0.004178854993731718
category;Food & Beverage;Norway,2700,"$403,336,363,636 ",36.2,1.0,0.0028207271207689095
category;Food & Beverage;Ireland,2600,,,1.0,0.0027162557459256163
category;Food & Beverage;Russia,5600,"$1,699,876,578,871 ",46.2,3.0,0.0058503969912244045
category;Food & Beverage;Israel,3400,"$395,098,666,122 ",25.3,2.0,0.0035520267446719597
category;Food & Beverage;Taiwan,6500,,,4.0,0.006790639364814041
category;Food & Beverage;Monaco,2000,"$7,184,844,193 ",,1.0,0.002089427496865859
category;Food & Beverage;Spain,3000,"$1,394,116,310,769 ",47.0,2.0,0.0031341412452987882
category;Food & Beverage;Japan,3200,"$5,081,769,542,380 ",46.7,2.0,0.003343083994985374
category;Food & Beverage;Indonesia,1800,"$1,119,190,780,753 ",30.1,1.0,0.0018804847471792729
category;Food & Beverage;United Arab Emirates,1500,"$421,142,267,938 ",15.9,1.0,0.0015670706226493941
category;Food & Beverage;Vietnam,1300,"$261,921,244,843 ",37.6,1.0,0.0013581278729628081
category;Food & Beverage;Hong Kong,1000,,,1.0,0.0010447137484329294
category;Logistics,,,,,
category;Logistics;Switzerland,102800,"$703,082,435,360 ",28.8,4.0,0.4292275574112735
category;Logistics;United Kingdom,13700,"$2,827,113,184,696 ",30.6,1.0,0.05720250521920668
category;Logistics;France,31000,"$2,715,518,274,227 ",60.7,4.0,0.12943632567849686
category;Logistics;Philippines,7300,"$376,795,508,680 ",43.1,1.0,0.030480167014613778
category;Logistics;United States,20500,"$21,427,700,000,000 ",36.6,5.0,0.08559498956158663
category;Logistics;Hong Kong,13900,,,4.0,0.05803757828810021
category;Logistics;Greece,5600,"$209,852,761,469 ",51.9,1.0,0.02338204592901879
category;Logistics;China,18700,"$19,910,000,000,000 ",59.2,8.0,0.07807933194154489
category;Logistics;Norway,5100,"$403,336,363,636 ",36.2,1.0,0.02129436325678497
category;Logistics;Australia,3200,"$1,392,680,589,329 ",47.4,1.0,0.013361169102296452
category;Logistics;Russia,8500,"$1,699,876,578,871 ",46.2,3.0,0.03549060542797495
category;Logistics;Japan,1600,"$5,081,769,542,380 ",46.7,1.0,0.006680584551148226
category;Logistics;Taiwan,2500,,,2.0,0.010438413361169102
category;Logistics;Malaysia,1500,"$364,701,517,788 ",38.7,1.0,0.006263048016701462
category;Logistics;Indonesia,1300,"$1,119,190,780,753 ",30.1,1.0,0.005427974947807933
category;Logistics;India,1300,"$2,611,000,000,000 ",49.7,1.0,0.005427974947807933
category;Gambling & Casinos,,,,,
category;Gambling & Casinos;United States,49500,"$21,427,700,000,000 ",36.6,6.0,0.4107883817427386
category;Gambling & Casinos;Hong Kong,18700,,,3.0,0.15518672199170125
category;Gambling & Casinos;Switzerland,8100,"$703,082,435,360 ",28.8,1.0,0.06721991701244813
category;Gambling & Casinos;Austria,7100,"$446,314,739,528 ",51.4,1.0,0.05892116182572614
category;Gambling & Casinos;United Kingdom,15100,"$2,827,113,184,696 ",30.6,3.0,0.12531120331950207
category;Gambling & Casinos;Israel,5600,"$395,098,666,122 ",25.3,1.0,0.046473029045643155
category;Gambling & Casinos;Cambodia,2800,"$27,089,389,787 ",23.1,1.0,0.023236514522821577
category;Gambling & Casinos;Germany,2400,"$3,845,630,030,824 ",48.8,1.0,0.01991701244813278
category;Gambling & Casinos;Malaysia,2300,"$364,701,517,788 ",38.7,1.0,0.019087136929460582
category;Gambling & Casinos;Sweden,3100,"$530,832,908,738 ",49.1,2.0,0.025726141078838173
category;Gambling & Casinos;Japan,4700,"$5,081,769,542,380 ",46.7,4.0,0.03900414937759336
category;Gambling & Casinos;Spain,1100,"$1,394,116,310,769 ",47.0,1.0,0.009128630705394191
category;Manufacturing,,,,,
category;Manufacturing;Germany,72800,"$3,845,630,030,824 ",48.8,18.0,0.07144259077526988
category;Manufacturing;China,373200,"$19,910,000,000,000 ",59.2,143.0,0.3662414131501472
category;Manufacturing;Indonesia,27000,"$1,119,190,780,753 ",30.1,4.0,0.02649656526005888
category;Manufacturing;United Kingdom,56200,"$2,827,113,184,696 ",30.6,6.0,0.05515210991167811
category;Manufacturing;Japan,24700,"$5,081,769,542,380 ",46.7,2.0,0.024239450441609422
category;Manufacturing;Singapore,21500,"$372,062,527,489 ",21.0,4.0,0.021099116781157997
category;Manufacturing;Nigeria,14200,"$448,120,428,859 ",34.8,1.0,0.01393523061825319
category;Manufacturing;Israel,17600,"$395,098,666,122 ",25.3,2.0,0.017271835132482826
category;Manufacturing;Australia,17200,"$1,392,680,589,329 ",47.4,4.0,0.0168792934249264
category;Manufacturing;Russia,31300,"$1,699,876,578,871 ",46.2,7.0,0.03071638861629048
category;Manufacturing;Taiwan,19300,,,8.0,0.018940137389597645
category;Manufacturing;United States,90700,"$21,427,700,000,000 ",36.6,28.0,0.08900883218842003
category;Manufacturing;India,76200,"$2,611,000,000,000 ",49.7,32.0,0.07477919528949951
category;Manufacturing;Denmark,26800,"$348,078,018,464 ",23.8,4.0,0.026300294406280667
category;Manufacturing;Switzerland,30200,"$703,082,435,360 ",28.8,7.0,0.029636898920510305
category;Manufacturing;Monaco,6400,"$7,184,844,193 ",,1.0,0.006280667320902846
category;Manufacturing;Turkey,10000,"$754,411,708,203 ",42.3,2.0,0.009813542688910697
category;Manufacturing;Hong Kong,29100,,,12.0,0.02855740922473013
category;Manufacturing;Finland,8700,"$268,761,201,365 ",36.6,4.0,0.008537782139352306
category;Manufacturing;Malaysia,4000,"$364,701,517,788 ",38.7,1.0,0.003925417075564278
category;Manufacturing;Italy,13700,"$2,001,244,392,042 ",59.1,6.0,0.013444553483807655
category;Manufacturing;Netherlands,5200,"$909,070,395,161 ",41.2,2.0,0.005103042198233563
category;Manufacturing;Canada,5700,"$1,736,425,629,520 ",24.5,2.0,0.005593719332679097
category;Manufacturing;Mexico,3200,"$1,258,286,717,125 ",55.1,1.0,0.003140333660451423
category;Manufacturing;France,3100,"$2,715,518,274,227 ",60.7,1.0,0.003042198233562316
category;Manufacturing;Ireland,2100,,,1.0,0.0020608439646712462
