id,value
category;Healthcare;France,13000
category;Healthcare;Denmark,6800
category;Healthcare;South Korea,5600
category;Healthcare;Hong Kong,10200
category;Healthcare;Russia,9100
category;Healthcare;Poland,4000
category;Healthcare;Brazil,8800
category;Healthcare;Thailand,4800
category;Healthcare;United Kingdom,5400
category;Healthcare;Liechtenstein,2300
category;Healthcare;United Arab Emirates,2200
category;Healthcare;Monaco,2000
category;Healthcare;Finland,2000
category;Healthcare;Japan,3100
category;Healthcare;Israel,1500
category;Healthcare;Turkey,1200
category;Healthcare;Singapore,1000
category;Service,
category;Service;China,52400
category;Service;United States,67100
category;Service;Netherlands,6200
category;Service;Israel,4200
category;Service;France,4100
category;Service;India,6600
category;Service;Germany,3200
category;Service;Switzerland,7100
category;Service;United Arab Emirates,3000
category;Service;Spain,4900
category;Service;Mexico,2600
category;Service;Russia,2600
category;Service;Bahrain,1500
category;Service;Monaco,4500
category;Service;Hong Kong,1300
category;Service;Japan,1100
category;Service;Norway,1000
category;Construction & Engineering,
category;Construction & Engineering;United States,20900
category;Construction & Engineering;Egypt,7400
category;Construction & Engineering;United Kingdom,8800
category;Construction & Engineering;Switzerland,8600
category;Construction & Engineering;Spain,10900
category;Construction & Engineering;Italy,7500
category;Construction & Engineering;Russia,8600
category;Construction & Engineering;France,6800
category;Construction & Engineering;Canada,3300
category;Construction & Engineering;United Arab Emirates,4400
category;Construction & Engineering;China,7000
category;Construction & Engineering;Austria,2500
category;Construction & Engineering;Turkey,4200
category;Construction & Engineering;India,6100
category;Construction & Engineering;Malaysia,1600
category;Construction & Engineering;Mexico,1500
category;Construction & Engineering;South Korea,1100
category;Sports,
category;Sports;United States,127500
category;Sports;United Kingdom,2900
category;Sports;Canada,2000
category;Sports;Switzerland,1100
category;Sports;Monaco,1000
